skills_count,experience,domain_match,education_level,skill_match_percent,result
3,3,0,1,89,1
7,3,0,2,60,1
7,4,0,2,35,1
4,5,0,2,87,0
2,4,0,3,67,1
2,5,1,1,75,1
7,1,1,3,83,1
7,1,0,2,78,1
6,0,1,3,81,1
3,4,1,2,95,1
1,2,1,3,30,1
2,4,1,2,37,1
7,2,0,3,38,1
6,3,1,3,74,0
5,4,1,3,45,1
6,3,1,1,25,0
2,1,0,3,23,1
2,1,0,1,48,1
6,0,0,2,78,1
1,4,0,3,36,1
4,3,0,2,62,1
2,2,0,2,99,0
6,1,0,3,85,0
7,1,1,1,53,1
6,2,1,3,27,1
3,3,1,2,32,1
4,3,0,2,27,0
5,4,0,3,84,1
1,4,0,1,62,1
5,5,0,1,58,1
4,5,0,2,100,1
4,0,1,2,78,0
4,1,1,1,63,1
5,4,0,3,28,1
7,3,0,2,56,1
4,2,0,1,93,1
6,3,0,2,55,1
5,1,1,3,47,1
4,5,0,1,61,1
6,3,0,2,62,0
7,0,0,3,61,1
3,1,0,2,85,1
7,5,1,3,74,1
4,2,0,3,91,1
5,5,0,1,67,1
2,0,1,3,41,1
4,1,1,2,46,1
2,2,1,3,86,1
6,0,0,3,32,0
3,5,0,1,64,1
1,0,1,3,29,1
7,1,1,3,28,1
3,4,1,2,73,1
4,0,1,1,46,1
2,0,1,1,53,0
7,5,1,1,20,1
2,5,0,3,51,1
5,2,0,1,90,0
2,5,0,3,86,1
5,3,1,3,39,1
6,1,1,2,54,1
7,1,1,2,97,1
7,4,1,2,36,1
1,4,1,2,37,1
4,1,1,2,64,1
5,4,0,3,72,1
1,2,0,3,87,0
2,5,1,1,84,0
2,1,0,3,20,0
1,4,1,3,77,1
7,1,0,2,45,1
2,3,1,3,39,1
6,0,1,2,29,1
6,5,0,1,78,1
1,1,0,1,94,1
5,0,1,3,60,1
5,4,1,1,24,1
1,0,0,3,84,1
5,5,0,1,36,1
7,1,1,2,41,1
7,3,0,2,60,1
5,4,1,2,87,1
6,1,1,2,88,1
5,5,1,3,30,1
7,4,1,1,75,1
3,2,0,3,70,1
4,0,0,2,40,1
2,5,0,3,95,1
3,2,0,1,45,0
5,1,0,3,38,1
6,3,0,1,79,1
1,4,0,3,90,1
5,0,1,1,66,0
6,4,0,1,90,1
4,1,0,2,45,1
5,4,1,1,59,1
7,0,0,2,24,0
1,1,0,2,40,1
6,4,1,2,97,1
6,3,0,3,23,1
6,5,0,3,42,1
4,1,0,3,34,1
5,5,1,3,27,1
4,1,0,1,60,1
2,3,0,1,38,1
2,5,1,3,65,1
5,2,0,1,47,0
7,0,1,1,87,1
4,2,1,2,34,1
1,4,0,2,56,1
6,3,1,2,20,1
6,2,1,2,86,1
5,1,0,1,43,1
7,4,1,3,46,1
2,4,1,1,59,1
2,2,0,1,82,1
6,2,0,1,80,1
5,3,0,2,55,1
4,0,1,2,43,0
2,2,0,2,43,0
4,2,1,3,23,0
7,5,1,1,86,1
2,1,1,3,53,0
2,5,1,2,76,1
3,5,1,3,68,1
2,4,1,1,72,1
1,0,1,1,42,1
5,1,0,2,88,1
5,3,0,2,72,1
4,3,1,3,81,1
7,2,1,2,60,1
2,2,0,2,76,1
1,3,1,1,79,1
4,2,0,2,73,1
3,0,0,2,89,0
4,5,0,1,76,1
4,2,1,1,29,1
2,4,1,3,59,1
3,2,0,2,26,1
4,1,0,1,57,0
1,0,0,3,80,1
1,1,0,3,22,1
5,1,0,2,70,1
3,4,1,2,66,1
3,0,0,3,87,1
5,0,1,1,95,0
4,0,0,3,57,1
3,0,1,2,55,1
1,0,1,1,60,0
1,4,1,1,88,1
2,2,1,3,32,1
3,1,1,2,77,1
4,0,1,3,69,1
5,2,0,3,49,0
5,2,1,3,81,1
4,1,0,1,44,0
7,4,1,1,46,1
6,3,1,2,70,1
2,3,0,2,97,1
5,2,1,3,76,1
3,5,0,3,66,1
2,5,0,3,58,1
3,1,0,2,35,1
7,3,0,1,41,0
1,2,1,1,73,1
2,4,1,3,40,1
5,3,0,3,91,1
2,2,1,3,35,1
2,2,1,3,78,1
2,0,0,2,50,1
6,4,1,1,61,0
2,0,0,3,93,1
3,1,0,2,51,1
1,0,1,3,78,1
7,0,1,3,53,1
4,3,1,1,28,1
2,5,0,3,100,1
5,2,0,1,30,1
2,4,1,1,29,1
5,0,1,1,36,1
3,4,1,2,87,1
5,5,1,2,67,1
4,5,0,1,71,1
1,0,1,3,44,1
5,1,0,1,40,1
5,0,0,3,84,1
1,3,1,1,82,1
4,2,1,3,70,1
2,1,1,2,55,1
5,0,0,3,100,1
1,4,1,1,85,1
3,1,1,2,34,1
1,1,0,3,58,1
3,0,1,3,89,1
4,1,0,3,20,0
2,4,1,3,42,1
1,5,0,3,58,1
7,1,1,2,76,1
7,5,1,2,100,1
6,4,0,2,53,0
5,0,0,2,60,1
4,2,1,1,92,0
1,1,0,2,32,0
7,2,0,3,89,1
5,4,0,3,25,1
7,1,0,2,71,1
1,5,1,3,22,1
3,3,1,2,100,1
1,2,0,3,82,1
6,1,0,1,68,1
1,2,0,1,95,1
1,1,0,2,66,0
6,0,1,2,74,1
4,5,1,2,83,1
1,2,0,3,84,0
6,3,0,2,100,1
5,3,0,1,86,1
3,4,1,3,34,1
3,1,0,2,51,1
1,2,1,3,87,0
4,4,0,3,37,1
4,2,1,2,62,1
5,1,0,3,54,1
1,3,1,1,97,1
3,0,0,1,77,1
4,3,0,3,52,1
1,4,0,2,33,1
7,5,1,3,53,1
4,0,0,1,80,1
6,4,1,3,23,1
7,1,1,3,78,0
4,0,0,1,48,0
3,4,0,3,25,1
2,1,0,3,68,1
7,3,1,2,59,1
5,5,0,2,84,1
5,1,1,1,88,1
3,2,1,1,46,0
4,1,0,1,99,1
1,1,0,2,25,0
4,5,0,1,32,1
3,2,0,1,83,0
5,4,0,1,81,1
4,4,0,2,38,1
5,1,1,3,95,1
7,2,1,1,99,1
1,2,1,3,62,1
7,5,0,1,93,1
5,3,1,3,39,1
5,4,1,2,87,1
2,5,1,2,63,1
2,0,1,1,42,1
7,4,1,3,21,1
6,5,0,2,41,1
7,4,0,1,76,1
2,3,1,1,91,1
5,0,1,2,26,1
3,3,1,2,97,1
7,0,0,1,75,0
5,1,0,3,86,1
3,5,1,3,35,1
3,0,0,3,70,1
2,3,0,1,99,1
7,4,1,2,91,1
4,0,0,1,31,1
1,5,0,2,72,1
2,0,1,3,94,1
2,2,0,3,24,1
4,4,0,2,46,1
1,5,1,2,31,0
5,5,0,1,36,1
6,1,0,3,25,1
7,3,1,1,24,1
6,1,1,1,76,0
5,5,1,1,47,1
2,4,0,3,97,1
1,0,1,1,88,1
2,0,0,1,78,1
3,4,1,1,52,1
2,5,0,1,81,1
2,0,1,1,69,1
5,0,1,1,38,1
5,0,1,3,88,1
5,3,1,1,85,1
6,3,0,2,66,1
3,2,1,1,58,1
5,1,1,1,87,1
1,4,0,3,52,0
6,4,1,3,32,1
4,4,0,2,73,1
1,2,1,2,26,1
7,3,1,3,98,1
7,5,1,3,33,1
1,5,0,1,38,1
5,2,1,3,73,1
4,5,1,2,39,1
4,4,1,1,48,1
6,1,0,2,43,1
4,0,0,1,82,0
7,3,1,3,93,1
3,3,0,2,76,1
5,2,1,1,27,1
4,3,1,1,81,0
6,4,1,3,48,1
7,5,1,3,93,1
3,4,1,3,36,1
2,2,1,2,85,0
2,4,1,1,25,1
3,5,0,3,77,1
7,1,0,2,88,1
6,2,0,2,47,1
3,1,0,2,81,1
5,0,0,3,60,1
5,1,0,3,88,1
2,0,0,1,60,1
4,0,1,1,68,1
6,1,1,3,68,1
2,2,1,2,95,1
4,5,1,2,90,1
4,4,0,2,22,1
5,4,0,1,29,1
7,5,1,2,54,1
1,0,1,1,99,1
7,0,0,1,21,1
1,2,1,2,43,1
3,3,1,2,93,1
5,1,1,3,57,1
4,0,1,3,41,1
6,4,0,2,45,1
1,2,1,1,62,1
7,1,1,1,74,1
4,2,0,1,58,1
1,1,0,1,48,1
1,1,1,1,39,0
1,5,0,3,60,0
6,0,1,2,73,1
5,2,1,3,39,1
6,2,0,1,38,1
2,5,1,1,85,1
4,4,1,1,49,1
5,4,1,1,72,1
5,0,1,2,53,1
5,0,0,1,41,0
7,3,0,2,86,1
5,5,1,1,25,1
6,4,0,2,98,1
5,1,1,3,46,1
3,2,1,1,29,1
4,0,1,2,92,1
5,2,1,3,67,1
4,2,1,1,89,0
3,3,0,1,78,1
3,4,1,1,78,0
4,0,0,2,21,0
1,2,0,2,48,0
2,0,1,3,87,1
7,1,1,2,84,1
1,3,1,2,45,0
1,1,1,1,29,1
6,0,1,1,72,1
7,0,0,1,98,1
7,4,1,1,78,1
1,2,1,1,41,1
5,2,0,1,70,1
6,1,0,1,67,1
6,3,1,3,40,1
3,5,0,3,41,1
7,2,1,3,49,0
1,4,0,3,44,1
3,1,0,1,47,0
4,1,1,3,84,1
2,5,0,1,64,1
6,4,0,3,87,1
4,3,0,2,26,1
4,4,0,3,68,1
5,3,0,3,28,1
2,4,0,1,55,0
4,4,1,3,20,1
4,0,1,2,29,1
2,1,0,1,55,0
2,4,1,1,92,1
4,5,1,3,65,1
2,4,1,1,51,1
4,2,0,1,51,1
4,1,1,1,25,0
5,2,0,1,67,1
1,1,1,1,57,0
4,2,0,1,36,1
3,4,0,2,93,1
6,4,1,3,46,1
7,0,1,2,73,1
1,5,0,1,69,1
1,2,1,1,54,1
1,3,1,3,44,1
5,0,1,2,47,1
4,2,0,3,34,1
5,2,0,2,23,1
4,0,1,1,92,1
5,4,1,3,46,1
5,2,1,3,45,1
6,4,0,1,38,1
3,0,0,3,36,1
5,4,1,2,62,1
6,1,1,2,60,1
2,3,1,2,61,1
3,2,1,2,69,0
5,5,1,1,59,1
7,3,1,3,58,1
1,4,0,2,42,1
2,2,1,1,71,1
2,4,0,3,66,0
6,1,1,3,82,1
2,0,1,1,88,1
3,2,0,1,62,1
5,1,0,2,67,1
5,1,0,3,53,1
7,2,0,3,59,1
1,4,1,1,94,1
6,5,0,3,80,1
1,1,1,2,69,1
2,3,0,3,86,1
7,1,1,1,81,1
1,5,1,1,77,1
3,4,1,2,52,0
5,4,1,2,94,1
2,3,1,3,35,0
7,1,1,3,67,1
1,4,0,1,29,1
6,5,1,2,57,1
3,2,0,2,38,1
3,0,0,2,55,1
1,0,1,3,78,1
5,0,0,2,82,1
1,1,1,1,96,0
2,3,0,1,65,1
1,4,1,3,22,1
3,2,0,3,93,1
7,5,1,2,84,1
1,2,1,3,27,1
5,5,1,1,70,1
7,1,1,2,100,1
6,0,0,1,92,1
4,1,1,2,25,1
1,3,0,3,58,1
5,3,0,2,79,0
7,5,0,2,47,1
5,4,1,1,73,1
6,4,0,1,56,1
3,5,0,2,28,1
5,3,0,3,75,1
7,3,1,3,78,1
5,3,1,1,21,1
5,1,0,3,80,1
5,3,1,1,77,1
2,2,1,3,79,1
2,0,0,2,59,1
3,3,0,1,55,1
1,5,1,1,56,1
5,0,0,2,98,1
6,1,1,1,37,1
1,5,1,3,82,1
6,0,1,3,41,0
1,5,1,1,30,1
3,1,1,3,77,1
5,2,1,1,76,1
5,1,0,2,96,1
4,1,0,1,23,0
6,5,1,2,26,1
1,4,1,3,80,1
1,3,1,2,73,1
2,3,0,3,87,1
4,2,1,1,98,1
7,2,0,3,20,1
7,3,1,1,74,1
2,4,1,1,22,0
2,3,0,2,97,0
2,4,0,2,57,1
6,2,1,2,20,1
6,0,1,2,57,1
3,5,1,3,48,1
3,2,0,3,24,1
2,2,0,3,93,1
4,1,0,1,40,1
1,1,0,3,90,1
6,1,0,3,86,1
4,5,0,3,66,1
5,1,1,2,54,1
6,4,1,3,87,1
6,3,0,1,88,0
3,0,1,2,20,1
1,2,1,1,87,1
1,4,0,3,31,0
7,0,1,2,79,0
7,4,0,1,46,1
7,4,0,3,75,1
7,2,1,1,42,1
5,3,0,1,44,1
5,1,0,1,40,1
6,5,0,3,80,1
2,3,0,3,82,1
3,5,0,1,71,1
3,2,0,2,44,1
7,2,0,2,74,1
6,2,0,3,65,1
4,0,1,3,51,1
2,5,1,3,74,1
6,3,1,3,24,1
2,3,0,3,55,1
2,4,0,2,68,0
2,4,1,3,77,1
6,4,1,1,58,1
7,2,1,1,99,1
3,3,0,2,80,1
3,5,1,1,28,1
7,2,1,2,25,1
2,0,0,2,54,1
4,4,1,1,58,1
1,2,0,3,41,0
6,2,0,1,60,1
1,0,0,1,24,1
7,1,1,2,61,0
4,3,1,1,100,1
6,5,0,2,95,1
